Õppeaine kood;Õppeaine nimetus;Maht EAP;Õppeaine hindamisviis
54;õppeaine54;5;hindeline arvestus (eristav hindamine)
55;õppeaine55;6;hindeline arvestus (eristav hindamine)
56;õppeaine56;6;hindeline arvestus (eristav hindamine)
57;õppeaine57;3;arvestus (mitteeristav)
58;õppeaine58;6;hindeline arvestus (eristav hindamine)
59;õppeaine59;3;arvestus (mitteeristav)
60;õppeaine60;2;arvestus (mitteeristav)
61;õppeaine61;2;arvestus (mitteeristav)
62;õppeaine62;3;arvestus (mitteeristav)
63;õppeaine63;3;arvestus (mitteeristav)
64;õppeaine64;6;hindeline arvestus (eristav hindamine)
65;õppeaine65;8;eksam (eristav hindamine)
66;õppeaine66;9;eksam (eristav hindamine)
67;õppeaine67;5;hindeline arvestus (eristav hindamine)
68;õppeaine68;5;hindeline arvestus (eristav hindamine)
69;õppeaine69;6;hindeline arvestus (eristav hindamine)
70;õppeaine70;6;hindeline arvestus (eristav hindamine)
71;õppeaine71;3;arvestus (mitteeristav)
72;õppeaine72;6;hindeline arvestus (eristav hindamine)
73;õppeaine73;3;arvestus (mitteeristav)
74;õppeaine74;2;arvestus (mitteeristav)
75;õppeaine75;2;arvestus (mitteeristav)
76;õppeaine76;3;arvestus (mitteeristav)
77;õppeaine77;3;arvestus (mitteeristav)
78;õppeaine78;6;hindeline arvestus (eristav hindamine)
79;õppeaine79;8;eksam (eristav hindamine)
80;õppeaine80;9;eksam (eristav hindamine)
81;õppeaine81;5;hindeline arvestus (eristav hindamine)
82;õppeaine82;5;hindeline arvestus (eristav hindamine)
83;õppeaine83;6;hindeline arvestus (eristav hindamine)
84;õppeaine84;6;hindeline arvestus (eristav hindamine)
85;õppeaine85;3;arvestus (mitteeristav)
86;õppeaine86;6;hindeline arvestus (eristav hindamine)
87;õppeaine87;3;arvestus (mitteeristav)
88;õppeaine88;2;arvestus (mitteeristav)
89;õppeaine89;2;arvestus (mitteeristav)
90;õppeaine90;3;arvestus (mitteeristav)
91;õppeaine91;3;arvestus (mitteeristav)
92;õppeaine92;6;hindeline arvestus (eristav hindamine)
93;õppeaine93;8;eksam (eristav hindamine)
94;õppeaine94;9;eksam (eristav hindamine)
95;õppeaine95;5;hindeline arvestus (eristav hindamine)
96;õppeaine96;5;hindeline arvestus (eristav hindamine)
97;õppeaine97;6;hindeline arvestus (eristav hindamine)
98;õppeaine98;6;hindeline arvestus (eristav hindamine)
99;õppeaine99;3;arvestus (mitteeristav)
100;õppeaine100;6;hindeline arvestus (eristav hindamine)
101;õppeaine101;3;arvestus (mitteeristav)
102;õppeaine102;2;arvestus (mitteeristav)
103;õppeaine103;10;eksam (eristav hindamine)
104;õppeaine104;3;arvestus (mitteeristav)
105;õppeaine105;3;arvestus (mitteeristav)
106;õppeaine106;10;eksam (eristav hindamine)
107;õppeaine107;8;eksam (eristav hindamine)
108;õppeaine108;9;eksam (eristav hindamine)
109;õppeaine109;5;hindeline arvestus (eristav hindamine)
110;õppeaine110;5;hindeline arvestus (eristav hindamine)
111;õppeaine111;6;hindeline arvestus (eristav hindamine)
112;õppeaine112;6;hindeline arvestus (eristav hindamine)
113;õppeaine113;10;eksam (eristav hindamine)
114;õppeaine114;6;hindeline arvestus (eristav hindamine)
115;õppeaine115;3;arvestus (mitteeristav)
116;õppeaine116;2;arvestus (mitteeristav)
117;õppeaine117;2;arvestus (mitteeristav)
118;õppeaine118;3;arvestus (mitteeristav)
119;õppeaine119;10;eksam (eristav hindamine)
120;õppeaine120;6;hindeline arvestus (eristav hindamine)
121;õppeaine121;10;eksam (eristav hindamine)
122;õppeaine122;9;eksam (eristav hindamine)
123;õppeaine123;5;hindeline arvestus (eristav hindamine)
124;õppeaine124;5;hindeline arvestus (eristav hindamine)
125;õppeaine125;6;hindeline arvestus (eristav hindamine)
126;õppeaine126;6;hindeline arvestus (eristav hindamine)
127;õppeaine127;3;arvestus (mitteeristav)
128;õppeaine128;6;hindeline arvestus (eristav hindamine)
129;õppeaine129;3;arvestus (mitteeristav)
130;õppeaine130;2;arvestus (mitteeristav)
131;õppeaine131;2;arvestus (mitteeristav)
132;õppeaine132;3;arvestus (mitteeristav)
133;õppeaine133;3;arvestus (mitteeristav)
134;õppeaine134;6;hindeline arvestus (eristav hindamine)
135;õppeaine135;8;eksam (eristav hindamine)
136;õppeaine136;9;eksam (eristav hindamine)
137;õppeaine137;5;hindeline arvestus (eristav hindamine)
138;õppeaine138;5;hindeline arvestus (eristav hindamine)
139;õppeaine139;6;hindeline arvestus (eristav hindamine)
140;õppeaine140;6;hindeline arvestus (eristav hindamine)
141;õppeaine141;15;eksam (eristav hindamine)
142;õppeaine142;6;hindeline arvestus (eristav hindamine)
143;õppeaine143;3;arvestus (mitteeristav)
144;õppeaine144;2;arvestus (mitteeristav)
145;õppeaine145;2;arvestus (mitteeristav)
146;õppeaine146;15;eksam (eristav hindamine)
147;õppeaine147;15;eksam (eristav hindamine)
148;õppeaine148;6;hindeline arvestus (eristav hindamine)
149;õppeaine149;15;eksam (eristav hindamine)
150;õppeaine150;9;eksam (eristav hindamine)
151;õppeaine151;5;hindeline arvestus (eristav hindamine)
152;õppeaine152;15;eksam (eristav hindamine)
153;õppeaine153;6;hindeline arvestus (eristav hindamine)
154;õppeaine154;6;hindeline arvestus (eristav hindamine)
155;õppeaine155;3;arvestus (mitteeristav)
156;õppeaine156;6;hindeline arvestus (eristav hindamine)
157;õppeaine157;3;arvestus (mitteeristav)
158;õppeaine158;2;arvestus (mitteeristav)
159;õppeaine159;2;arvestus (mitteeristav)
160;õppeaine160;3;arvestus (mitteeristav)
161;õppeaine161;3;arvestus (mitteeristav)
162;õppeaine162;6;hindeline arvestus (eristav hindamine)
163;õppeaine163;8;eksam (eristav hindamine)
164;õppeaine164;9;eksam (eristav hindamine)
165;õppeaine165;5;hindeline arvestus (eristav hindamine)
166;õppeaine166;5;hindeline arvestus (eristav hindamine)
167;õppeaine167;6;hindeline arvestus (eristav hindamine)
168;õppeaine168;6;hindeline arvestus (eristav hindamine)
169;õppeaine169;3;arvestus (mitteeristav)
170;õppeaine170;6;hindeline arvestus (eristav hindamine)
171;õppeaine171;3;arvestus (mitteeristav)
172;õppeaine172;2;arvestus (mitteeristav)
173;õppeaine173;2;arvestus (mitteeristav)
174;õppeaine174;3;arvestus (mitteeristav)
175;õppeaine175;3;arvestus (mitteeristav)
176;õppeaine176;6;hindeline arvestus (eristav hindamine)
177;õppeaine177;8;eksam (eristav hindamine)
178;õppeaine178;9;eksam (eristav hindamine)
179;õppeaine179;5;hindeline arvestus (eristav hindamine)
180;õppeaine180;5;hindeline arvestus (eristav hindamine)
181;õppeaine181;6;hindeline arvestus (eristav hindamine)
182;õppeaine182;6;hindeline arvestus (eristav hindamine)
183;õppeaine183;3;arvestus (mitteeristav)
184;õppeaine184;6;hindeline arvestus (eristav hindamine)
185;õppeaine185;3;arvestus (mitteeristav)
186;õppeaine186;2;arvestus (mitteeristav)
187;õppeaine187;2;arvestus (mitteeristav)
188;õppeaine188;3;arvestus (mitteeristav)
189;õppeaine189;3;arvestus (mitteeristav)
190;õppeaine190;6;hindeline arvestus (eristav hindamine)
191;õppeaine191;8;eksam (eristav hindamine)
192;õppeaine192;9;eksam (eristav hindamine)
193;õppeaine193;5;hindeline arvestus (eristav hindamine)
194;õppeaine194;5;hindeline arvestus (eristav hindamine)
195;õppeaine195;6;hindeline arvestus (eristav hindamine)
196;õppeaine196;6;hindeline arvestus (eristav hindamine)
197;õppeaine197;3;arvestus (mitteeristav)
198;õppeaine198;6;hindeline arvestus (eristav hindamine)
199;õppeaine199;3;arvestus (mitteeristav)
200;õppeaine200;2;arvestus (mitteeristav)
201;õppeaine201;2;arvestus (mitteeristav)
202;õppeaine202;3;arvestus (mitteeristav)
203;õppeaine203;3;arvestus (mitteeristav)
204;õppeaine204;6;hindeline arvestus (eristav hindamine)
205;õppeaine205;8;eksam (eristav hindamine)
206;õppeaine206;9;eksam (eristav hindamine)
207;õppeaine207;5;hindeline arvestus (eristav hindamine)
208;õppeaine208;5;hindeline arvestus (eristav hindamine)
209;õppeaine209;6;hindeline arvestus (eristav hindamine)
210;õppeaine210;6;hindeline arvestus (eristav hindamine)
211;õppeaine211;3;arvestus (mitteeristav)
212;õppeaine212;6;hindeline arvestus (eristav hindamine)
213;õppeaine213;3;arvestus (mitteeristav)
214;õppeaine214;2;arvestus (mitteeristav)
215;õppeaine215;2;arvestus (mitteeristav)
216;õppeaine216;3;arvestus (mitteeristav)
217;õppeaine217;3;arvestus (mitteeristav)
218;õppeaine218;6;hindeline arvestus (eristav hindamine)
219;õppeaine219;8;eksam (eristav hindamine)
220;õppeaine220;9;eksam (eristav hindamine)
221;õppeaine221;5;hindeline arvestus (eristav hindamine)
222;õppeaine222;5;hindeline arvestus (eristav hindamine)
223;õppeaine223;6;hindeline arvestus (eristav hindamine)
224;õppeaine224;6;hindeline arvestus (eristav hindamine)
225;õppeaine225;3;arvestus (mitteeristav)
226;õppeaine226;6;hindeline arvestus (eristav hindamine)
227;õppeaine227;3;arvestus (mitteeristav)
228;õppeaine228;2;arvestus (mitteeristav)
229;õppeaine229;2;arvestus (mitteeristav)
230;õppeaine230;3;arvestus (mitteeristav)
231;õppeaine231;3;arvestus (mitteeristav)
232;õppeaine232;6;hindeline arvestus (eristav hindamine)
233;õppeaine233;8;eksam (eristav hindamine)
234;õppeaine234;9;eksam (eristav hindamine)
235;õppeaine235;5;hindeline arvestus (eristav hindamine)
236;õppeaine236;5;hindeline arvestus (eristav hindamine)
237;õppeaine237;6;hindeline arvestus (eristav hindamine)
238;õppeaine238;6;hindeline arvestus (eristav hindamine)
239;õppeaine239;3;arvestus (mitteeristav)
240;õppeaine240;6;hindeline arvestus (eristav hindamine)
241;õppeaine241;3;arvestus (mitteeristav)
242;õppeaine242;2;arvestus (mitteeristav)
243;õppeaine243;2;arvestus (mitteeristav)
244;õppeaine244;3;arvestus (mitteeristav)
245;õppeaine245;3;arvestus (mitteeristav)
246;õppeaine246;6;hindeline arvestus (eristav hindamine)
247;õppeaine247;8;eksam (eristav hindamine)
248;õppeaine248;9;eksam (eristav hindamine)
249;õppeaine249;5;hindeline arvestus (eristav hindamine)
250;õppeaine250;5;hindeline arvestus (eristav hindamine)
251;õppeaine251;6;hindeline arvestus (eristav hindamine)
252;õppeaine252;6;hindeline arvestus (eristav hindamine)
253;õppeaine253;3;arvestus (mitteeristav)
254;õppeaine254;6;hindeline arvestus (eristav hindamine)
255;õppeaine255;3;arvestus (mitteeristav)
256;õppeaine256;2;arvestus (mitteeristav)
257;õppeaine257;2;arvestus (mitteeristav)
258;õppeaine258;3;arvestus (mitteeristav)
259;õppeaine259;3;arvestus (mitteeristav)
260;õppeaine260;6;hindeline arvestus (eristav hindamine)
261;õppeaine261;8;eksam (eristav hindamine)
262;õppeaine262;9;eksam (eristav hindamine)
263;õppeaine263;5;hindeline arvestus (eristav hindamine)
264;õppeaine264;5;hindeline arvestus (eristav hindamine)
265;õppeaine265;6;hindeline arvestus (eristav hindamine)
266;õppeaine266;6;hindeline arvestus (eristav hindamine)
267;õppeaine267;3;arvestus (mitteeristav)
268;õppeaine268;6;hindeline arvestus (eristav hindamine)
269;õppeaine269;3;arvestus (mitteeristav)
270;õppeaine270;2;arvestus (mitteeristav)
271;õppeaine271;2;arvestus (mitteeristav)
272;õppeaine272;3;arvestus (mitteeristav)
273;õppeaine273;3;arvestus (mitteeristav)
274;õppeaine274;6;hindeline arvestus (eristav hindamine)
275;õppeaine275;8;eksam (eristav hindamine)
276;õppeaine276;9;eksam (eristav hindamine)
277;õppeaine277;5;hindeline arvestus (eristav hindamine)
278;õppeaine278;5;hindeline arvestus (eristav hindamine)
279;õppeaine279;6;hindeline arvestus (eristav hindamine)
280;õppeaine280;6;hindeline arvestus (eristav hindamine)
281;õppeaine281;3;arvestus (mitteeristav)
282;õppeaine282;6;hindeline arvestus (eristav hindamine)
283;õppeaine283;3;arvestus (mitteeristav)
284;õppeaine284;2;arvestus (mitteeristav)
285;õppeaine285;2;arvestus (mitteeristav)
286;õppeaine286;3;arvestus (mitteeristav)
287;õppeaine287;3;arvestus (mitteeristav)
288;õppeaine288;6;hindeline arvestus (eristav hindamine)
289;õppeaine289;8;eksam (eristav hindamine)
290;õppeaine290;9;eksam (eristav hindamine)
291;õppeaine291;5;hindeline arvestus (eristav hindamine)
292;õppeaine292;5;hindeline arvestus (eristav hindamine)
293;õppeaine293;6;hindeline arvestus (eristav hindamine)
294;õppeaine294;6;hindeline arvestus (eristav hindamine)
295;õppeaine295;3;arvestus (mitteeristav)
296;õppeaine296;6;hindeline arvestus (eristav hindamine)
297;õppeaine297;3;arvestus (mitteeristav)
298;õppeaine298;2;arvestus (mitteeristav)
299;õppeaine299;2;arvestus (mitteeristav)
300;õppeaine300;3;arvestus (mitteeristav)
301;õppeaine301;3;arvestus (mitteeristav)
302;õppeaine302;6;hindeline arvestus (eristav hindamine)
303;õppeaine303;8;eksam (eristav hindamine)
304;õppeaine304;9;eksam (eristav hindamine)
305;õppeaine305;5;hindeline arvestus (eristav hindamine)
306;õppeaine306;5;hindeline arvestus (eristav hindamine)
307;õppeaine307;6;hindeline arvestus (eristav hindamine)
308;õppeaine308;6;hindeline arvestus (eristav hindamine)
309;õppeaine309;3;arvestus (mitteeristav)
310;õppeaine310;6;hindeline arvestus (eristav hindamine)
311;õppeaine311;3;arvestus (mitteeristav)
312;õppeaine312;2;arvestus (mitteeristav)
313;õppeaine313;2;arvestus (mitteeristav)
314;õppeaine314;3;arvestus (mitteeristav)
315;õppeaine315;3;arvestus (mitteeristav)
316;õppeaine316;6;hindeline arvestus (eristav hindamine)
317;õppeaine317;8;eksam (eristav hindamine)
318;õppeaine318;9;eksam (eristav hindamine)
319;õppeaine319;5;hindeline arvestus (eristav hindamine)
320;õppeaine320;5;hindeline arvestus (eristav hindamine)
321;õppeaine321;6;hindeline arvestus (eristav hindamine)
322;õppeaine322;6;hindeline arvestus (eristav hindamine)
323;õppeaine323;3;arvestus (mitteeristav)
324;õppeaine324;6;hindeline arvestus (eristav hindamine)
325;õppeaine325;3;arvestus (mitteeristav)
326;õppeaine326;2;arvestus (mitteeristav)
327;õppeaine327;2;arvestus (mitteeristav)
328;õppeaine328;3;arvestus (mitteeristav)
329;õppeaine329;3;arvestus (mitteeristav)
330;õppeaine330;6;hindeline arvestus (eristav hindamine)
331;õppeaine331;8;eksam (eristav hindamine)
332;õppeaine332;9;eksam (eristav hindamine)
333;õppeaine333;5;hindeline arvestus (eristav hindamine)
334;õppeaine334;5;hindeline arvestus (eristav hindamine)
335;õppeaine335;6;hindeline arvestus (eristav hindamine)
336;õppeaine336;6;hindeline arvestus (eristav hindamine)
337;õppeaine337;3;arvestus (mitteeristav)
338;õppeaine338;6;hindeline arvestus (eristav hindamine)
339;õppeaine339;3;arvestus (mitteeristav)
340;õppeaine340;2;arvestus (mitteeristav)
341;õppeaine341;2;arvestus (mitteeristav)
342;õppeaine342;3;arvestus (mitteeristav)
343;õppeaine343;3;arvestus (mitteeristav)
344;õppeaine344;6;hindeline arvestus (eristav hindamine)
345;õppeaine345;8;eksam (eristav hindamine)
346;õppeaine346;9;eksam (eristav hindamine)
347;õppeaine347;5;hindeline arvestus (eristav hindamine)
348;õppeaine348;5;hindeline arvestus (eristav hindamine)
349;õppeaine349;6;hindeline arvestus (eristav hindamine)
350;õppeaine350;6;hindeline arvestus (eristav hindamine)
351;õppeaine351;3;arvestus (mitteeristav)
352;õppeaine352;6;hindeline arvestus (eristav hindamine)
353;õppeaine353;3;arvestus (mitteeristav)
354;õppeaine354;2;arvestus (mitteeristav)
355;õppeaine355;2;arvestus (mitteeristav)
356;õppeaine356;3;arvestus (mitteeristav)
357;õppeaine357;3;arvestus (mitteeristav)
358;õppeaine358;6;hindeline arvestus (eristav hindamine)
359;õppeaine359;8;eksam (eristav hindamine)
360;õppeaine360;9;eksam (eristav hindamine)
361;õppeaine361;5;hindeline arvestus (eristav hindamine)
362;õppeaine362;5;hindeline arvestus (eristav hindamine)
363;õppeaine363;6;hindeline arvestus (eristav hindamine)
364;õppeaine364;6;hindeline arvestus (eristav hindamine)
365;õppeaine365;3;arvestus (mitteeristav)
366;õppeaine366;6;hindeline arvestus (eristav hindamine)
367;õppeaine367;3;arvestus (mitteeristav)
368;õppeaine368;2;arvestus (mitteeristav)
369;õppeaine369;2;arvestus (mitteeristav)
370;õppeaine370;3;arvestus (mitteeristav)
371;õppeaine371;3;arvestus (mitteeristav)
372;õppeaine372;6;hindeline arvestus (eristav hindamine)
373;õppeaine373;8;eksam (eristav hindamine)
374;õppeaine374;9;eksam (eristav hindamine)
375;õppeaine375;5;hindeline arvestus (eristav hindamine)
376;õppeaine376;5;hindeline arvestus (eristav hindamine)
377;õppeaine377;6;hindeline arvestus (eristav hindamine)
378;õppeaine378;6;hindeline arvestus (eristav hindamine)
379;õppeaine379;3;arvestus (mitteeristav)
380;õppeaine380;6;hindeline arvestus (eristav hindamine)
381;õppeaine381;3;arvestus (mitteeristav)
382;õppeaine382;2;arvestus (mitteeristav)
383;õppeaine383;2;arvestus (mitteeristav)
384;õppeaine384;3;arvestus (mitteeristav)
385;õppeaine385;3;arvestus (mitteeristav)
386;õppeaine386;6;hindeline arvestus (eristav hindamine)
387;õppeaine387;8;eksam (eristav hindamine)
388;õppeaine388;9;eksam (eristav hindamine)
389;õppeaine389;5;hindeline arvestus (eristav hindamine)
390;õppeaine390;5;hindeline arvestus (eristav hindamine)
391;õppeaine391;6;hindeline arvestus (eristav hindamine)
392;õppeaine392;6;hindeline arvestus (eristav hindamine)
393;õppeaine393;3;arvestus (mitteeristav)
394;õppeaine394;6;hindeline arvestus (eristav hindamine)
395;õppeaine395;3;arvestus (mitteeristav)
396;õppeaine396;2;arvestus (mitteeristav)
397;õppeaine397;2;arvestus (mitteeristav)
398;õppeaine398;3;arvestus (mitteeristav)
399;õppeaine399;3;arvestus (mitteeristav)
400;õppeaine400;6;hindeline arvestus (eristav hindamine)
401;õppeaine401;8;eksam (eristav hindamine)
402;õppeaine402;9;eksam (eristav hindamine)
403;õppeaine403;5;hindeline arvestus (eristav hindamine)
404;õppeaine404;5;hindeline arvestus (eristav hindamine)
405;õppeaine405;6;hindeline arvestus (eristav hindamine)
406;õppeaine406;6;hindeline arvestus (eristav hindamine)
407;õppeaine407;3;arvestus (mitteeristav)
408;õppeaine408;6;hindeline arvestus (eristav hindamine)
409;õppeaine409;3;arvestus (mitteeristav)
410;õppeaine410;2;arvestus (mitteeristav)
411;õppeaine411;2;arvestus (mitteeristav)
412;õppeaine412;3;arvestus (mitteeristav)
413;õppeaine413;3;arvestus (mitteeristav)
414;õppeaine414;6;hindeline arvestus (eristav hindamine)
415;õppeaine415;8;eksam (eristav hindamine)
416;õppeaine416;9;eksam (eristav hindamine)
417;õppeaine417;5;hindeline arvestus (eristav hindamine)
418;õppeaine418;5;hindeline arvestus (eristav hindamine)
419;õppeaine419;6;hindeline arvestus (eristav hindamine)
420;õppeaine420;6;hindeline arvestus (eristav hindamine)
421;õppeaine421;3;arvestus (mitteeristav)
422;õppeaine422;6;hindeline arvestus (eristav hindamine)
423;õppeaine423;3;arvestus (mitteeristav)
424;õppeaine424;2;arvestus (mitteeristav)
425;õppeaine425;2;arvestus (mitteeristav)
426;õppeaine426;3;arvestus (mitteeristav)
427;õppeaine427;3;arvestus (mitteeristav)
428;õppeaine428;6;hindeline arvestus (eristav hindamine)
429;õppeaine429;8;eksam (eristav hindamine)
430;õppeaine430;9;eksam (eristav hindamine)
431;õppeaine431;5;hindeline arvestus (eristav hindamine)
432;õppeaine432;5;hindeline arvestus (eristav hindamine)
433;õppeaine433;6;hindeline arvestus (eristav hindamine)
434;õppeaine434;6;hindeline arvestus (eristav hindamine)
435;õppeaine435;3;arvestus (mitteeristav)
436;õppeaine436;6;hindeline arvestus (eristav hindamine)
437;õppeaine437;3;arvestus (mitteeristav)
438;õppeaine438;2;arvestus (mitteeristav)
439;õppeaine439;2;arvestus (mitteeristav)
440;õppeaine440;3;arvestus (mitteeristav)
441;õppeaine441;3;arvestus (mitteeristav)
442;õppeaine442;6;hindeline arvestus (eristav hindamine)
443;õppeaine443;8;eksam (eristav hindamine)
